"County","FIPS","Year","Grade","School Type","Measure Type","Variable","Value"
"Connecticut","09","2006-2010","Grades 9 to 12","Private","Percent","Margins of Error",0
"Connecticut","09","2007-2011","Total","Total","Number","Enrolled Students",687595
"Connecticut","09","2007-2011","Total","Total","Number","Margins of Error",4412
"Connecticut","09","2007-2011","Total","Total","Percent","Enrolled Students",100
"Connecticut","09","2007-2011","Total","Total","Percent","Margins of Error",0
"Connecticut","09","2007-2011","Total","Public","Number","Enrolled Students",591192
"Connecticut","09","2007-2011","Total","Public","Number","Margins of Error",4244
"Connecticut","09","2007-2011","Total","Public","Percent","Enrolled Students",86
"Connecticut","09","2007-2011","Total","Public","Percent","Margins of Error",0
"Connecticut","09","2007-2011","Total","Private","Number","Enrolled Students",96403
"Connecticut","09","2007-2011","Total","Private","Number","Margins of Error",2131
"Connecticut","09","2007-2011","Total","Private","Percent","Enrolled Students",14
"Connecticut","09","2007-2011","Total","Private","Percent","Margins of Error",0
"Connecticut","09","2007-2011","Pre-K","Total","Number","Enrolled Students",61829
"Connecticut","09","2007-2011","Pre-K","Total","Number","Margins of Error",1561
"Connecticut","09","2007-2011","Pre-K","Total","Percent","Enrolled Students",9
"Connecticut","09","2007-2011","Pre-K","Total","Percent","Margins of Error",0
"Connecticut","09","2007-2011","Pre-K","Public","Number","Enrolled Students",30088
"Connecticut","09","2007-2011","Pre-K","Public","Number","Margins of Error",1162
"Connecticut","09","2007-2011","Pre-K","Public","Percent","Enrolled Students",48.7
"Connecticut","09","2007-2011","Pre-K","Public","Percent","Margins of Error",1
"Connecticut","09","2007-2011","Pre-K","Private","Number","Enrolled Students",31741
"Connecticut","09","2007-2011","Pre-K","Private","Number","Margins of Error",1158
"Connecticut","09","2007-2011","Pre-K","Private","Percent","Enrolled Students",51.3
"Connecticut","09","2007-2011","Pre-K","Private","Percent","Margins of Error",1
"Connecticut","09","2007-2011","K","Total","Number","Enrolled Students",42200
"Connecticut","09","2007-2011","K","Total","Number","Margins of Error",1316
"Connecticut","09","2007-2011","K","Total","Percent","Enrolled Students",6.1
"Connecticut","09","2007-2011","K","Total","Percent","Margins of Error",0
"Connecticut","09","2007-2011","K","Public","Number","Enrolled Students",36963
"Connecticut","09","2007-2011","K","Public","Number","Margins of Error",1240
"Connecticut","09","2007-2011","K","Public","Percent","Enrolled Students",87.6
"Connecticut","09","2007-2011","K","Public","Percent","Margins of Error",1
"Connecticut","09","2007-2011","K","Private","Number","Enrolled Students",5237
"Connecticut","09","2007-2011","K","Private","Number","Margins of Error",491
"Connecticut","09","2007-2011","K","Private","Percent","Enrolled Students",12.4
"Connecticut","09","2007-2011","K","Private","Percent","Margins of Error",1
"Connecticut","09","2007-2011","Grades 1 to 4","Total","Number","Enrolled Students",183342
"Connecticut","09","2007-2011","Grades 1 to 4","Total","Number","Margins of Error",2392
"Connecticut","09","2007-2011","Grades 1 to 4","Total","Percent","Enrolled Students",26.7
"Connecticut","09","2007-2011","Grades 1 to 4","Total","Percent","Margins of Error",0
"Connecticut","09","2007-2011","Grades 1 to 4","Public","Number","Enrolled Students",165731
"Connecticut","09","2007-2011","Grades 1 to 4","Public","Number","Margins of Error",2439
"Connecticut","09","2007-2011","Grades 1 to 4","Public","Percent","Enrolled Students",90.4
"Connecticut","09","2007-2011","Grades 1 to 4","Public","Percent","Margins of Error",1
"Connecticut","09","2007-2011","Grades 1 to 4","Private","Number","Enrolled Students",17611
"Connecticut","09","2007-2011","Grades 1 to 4","Private","Number","Margins of Error",958
"Connecticut","09","2007-2011","Grades 1 to 4","Private","Percent","Enrolled Students",9.6
"Connecticut","09","2007-2011","Grades 1 to 4","Private","Percent","Margins of Error",0
"Connecticut","09","2007-2011","Grades 5 to 8","Total","Number","Enrolled Students",190387
"Connecticut","09","2007-2011","Grades 5 to 8","Total","Number","Margins of Error",2520
"Connecticut","09","2007-2011","Grades 5 to 8","Total","Percent","Enrolled Students",27.7
"Connecticut","09","2007-2011","Grades 5 to 8","Total","Percent","Margins of Error",0
"Connecticut","09","2007-2011","Grades 5 to 8","Public","Number","Enrolled Students",171402
"Connecticut","09","2007-2011","Grades 5 to 8","Public","Number","Margins of Error",2433
"Connecticut","09","2007-2011","Grades 5 to 8","Public","Percent","Enrolled Students",90
"Connecticut","09","2007-2011","Grades 5 to 8","Public","Percent","Margins of Error",0
"Connecticut","09","2007-2011","Grades 5 to 8","Private","Number","Enrolled Students",18985
"Connecticut","09","2007-2011","Grades 5 to 8","Private","Number","Margins of Error",906
"Connecticut","09","2007-2011","Grades 5 to 8","Private","Percent","Enrolled Students",10
"Connecticut","09","2007-2011","Grades 5 to 8","Private","Percent","Margins of Error",0
"Connecticut","09","2007-2011","Grades 9 to 12","Total","Number","Enrolled Students",209837
"Connecticut","09","2007-2011","Grades 9 to 12","Total","Number","Margins of Error",1796
"Connecticut","09","2007-2011","Grades 9 to 12","Total","Percent","Enrolled Students",30.5
"Connecticut","09","2007-2011","Grades 9 to 12","Total","Percent","Margins of Error",0
"Connecticut","09","2007-2011","Grades 9 to 12","Public","Number","Enrolled Students",187008
"Connecticut","09","2007-2011","Grades 9 to 12","Public","Number","Margins of Error",1805
"Connecticut","09","2007-2011","Grades 9 to 12","Public","Percent","Enrolled Students",89.1
"Connecticut","09","2007-2011","Grades 9 to 12","Public","Percent","Margins of Error",0
"Connecticut","09","2007-2011","Grades 9 to 12","Private","Number","Enrolled Students",22829
"Connecticut","09","2007-2011","Grades 9 to 12","Private","Number","Margins of Error",1105
"Connecticut","09","2007-2011","Grades 9 to 12","Private","Percent","Enrolled Students",10.9
"Connecticut","09","2007-2011","Grades 9 to 12","Private","Percent","Margins of Error",0
"Connecticut","09","2008-2012","Total","Total","Number","Enrolled Students",683865
"Connecticut","09","2008-2012","Total","Total","Number","Margins of Error",4400
"Connecticut","09","2008-2012","Total","Total","Percent","Enrolled Students",100
"Connecticut","09","2008-2012","Total","Total","Percent","Margins of Error",0
"Connecticut","09","2008-2012","Total","Public","Number","Enrolled Students",588649
"Connecticut","09","2008-2012","Total","Public","Number","Margins of Error",4210
"Connecticut","09","2008-2012","Total","Public","Percent","Enrolled Students",86.1
"Connecticut","09","2008-2012","Total","Public","Percent","Margins of Error",0
"Connecticut","09","2008-2012","Total","Private","Number","Enrolled Students",95216
"Connecticut","09","2008-2012","Total","Private","Number","Margins of Error",1985
"Connecticut","09","2008-2012","Total","Private","Percent","Enrolled Students",13.9
"Connecticut","09","2008-2012","Total","Private","Percent","Margins of Error",0
"Connecticut","09","2008-2012","Pre-K","Total","Number","Enrolled Students",62302
"Connecticut","09","2008-2012","Pre-K","Total","Number","Margins of Error",1647
"Connecticut","09","2008-2012","Pre-K","Total","Percent","Enrolled Students",9.1
"Connecticut","09","2008-2012","Pre-K","Total","Percent","Margins of Error",0
"Connecticut","09","2008-2012","Pre-K","Public","Number","Enrolled Students",31004
"Connecticut","09","2008-2012","Pre-K","Public","Number","Margins of Error",1264
"Connecticut","09","2008-2012","Pre-K","Public","Percent","Enrolled Students",49.8
"Connecticut","09","2008-2012","Pre-K","Public","Percent","Margins of Error",2
"Connecticut","09","2008-2012","Pre-K","Private","Number","Enrolled Students",31298
"Connecticut","09","2008-2012","Pre-K","Private","Number","Margins of Error",1047
